"Rk.x","Player","Debut.x","Age.x","Yrs.x","G.x","MP...7.x","FG.x","FGA.x","3P.x","3PA.x","FT.x","FTA.x","ORB.x","TRB...15.x","AST...16.x","STL...17.x","BLK...18.x","TOV.x","PF.x","PTS...21.x","FG%.x","3P%.x","FT%.x","MP...25.x","PTS...26.x","TRB...27.x","AST...28.x","STL...29.x","BLK...30.x","year","first_team","Rk.y","Debut.y","Age.y","Yrs.y","G.y","MP...7.y","FG.y","FGA.y","3P.y","3PA.y","FT.y","FTA.y","ORB.y","TRB...15.y","AST...16.y","STL...17.y","BLK...18.y","TOV.y","PF.y","PTS...21.y","FG%.y","3P%.y","FT%.y","MP...25.y","PTS...26.y","TRB...27.y","AST...28.y","STL...29.y","BLK...30.y"
63,"Ben Uzoh","Nov 15, '10, NJN @ LAC",22,1,42,438,61,144,3,8,33,56,30,61,69,13,8,25,29,158,0.424,0.375,0.589,10.4,3.8,1.5,1.6,0.3,0.2,2010,"NJN",63,"Nov 15, '10, NJN @ LAC",22,2,60,808,96,243,3,9,44,75,49,128,130,30,11,44,60,239,0.395,0.333,0.587,13.5,4,2.1,2.2,0.5,0.2
64,"Greivis Vásquez","Oct 30, '10, MEM vs. MIN",24,1,70,860,95,233,25,86,34,44,12,73,151,22,4,70,83,249,0.408,0.291,0.773,12.3,3.6,1,2.2,0.3,0.1,2010,"MEM",64,"Oct 30, '10, MEM vs. MIN",24,7,401,9520,1378,3297,412,1180,423,518,125,1021,1935,236,34,753,767,3591,0.418,0.349,0.817,23.7,9,2.5,4.8,0.6,0.1
65,"John Wall","Oct 28, '10, WAS @ ORL",20,1,69,2606,398,972,34,115,301,393,35,317,574,121,35,261,175,1131,0.409,0.296,0.766,37.8,16.4,4.6,8.3,1.8,0.5,2010,"WAS",65,"Oct 28, '10, WAS @ ORL",20,11,647,22588,4373,10171,651,2021,2691,3468,361,2704,5735,1045,439,2412,1394,12088,0.43,0.322,0.776,34.9,18.7,4.2,8.9,1.6,0.7
66,"Willie Warren","Nov 1, '10, LAC vs. SAS",21,1,19,134,13,35,5,15,6,8,1,12,27,6,0,8,16,37,0.371,0.333,0.75,7.1,1.9,0.6,1.4,0.3,0,2010,"LAC",66,"Nov 1, '10, LAC vs. SAS",21,1,19,134,13,35,5,15,6,8,1,12,27,6,0,8,16,37,0.371,0.333,0.75,7.1,1.9,0.6,1.4,0.3,0
67,"Hassan Whiteside","Oct 27, '10, SAC @ MIN",21,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,2,0,0,0,0,0,2010,"SAC",67,"Oct 27, '10, SAC @ MIN",21,10,511,12645,2687,4583,8,26,1068,1765,1608,5523,327,271,1143,756,1341,6450,0.586,0.308,0.605,24.7,12.6,10.8,0.6,0.5,2.2
1,"Lavoy Allen","Jan 7, '12, PHI vs. TOR",22,1,41,624,79,167,0,0,11,14,47,171,34,13,18,20,73,169,0.473,NA,0.786,15.2,4.1,4.2,0.8,0.3,0.4,2011,"PHI",1,"Jan 7, '12, PHI vs. TOR",22,6,388,6905,828,1758,2,15,189,277,715,1843,384,120,214,257,706,1847,0.471,0.133,0.682,17.8,4.8,4.8,1,0.3,0.6
2,"Gustavo Ayón","Jan 1, '12, NOH @ SAC",26,1,54,1088,140,261,0,1,39,63,86,265,74,53,46,46,118,319,0.536,0,0.619,20.1,5.9,4.9,1.4,1,0.9,2011,"NOH",2,"Jan 1, '12, NOH @ SAC",26,3,135,2251,284,530,0,1,67,133,188,589,173,100,73,122,272,635,0.536,0,0.504,16.7,4.7,4.4,1.3,0.7,0.5
3,"Keith Benson","Mar 24, '12, GSW vs. SAC",23,1,3,9,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,NA,NA,3,0,1,0,0,0,2011,"GSW",3,"Mar 24, '12, GSW vs. SAC",23,1,3,9,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,NA,NA,3,0,1,0,0,0
4,"Bismack Biyombo","Dec 26, '11, CHA vs. MIL",19,1,63,1455,129,278,0,0,69,143,113,368,27,20,115,71,145,327,0.464,NA,0.483,23.1,5.2,5.8,0.4,0.3,1.8,2011,"CHA",4,"Dec 26, '11, CHA vs. MIL",19,13,839,16384,1653,3091,0,3,945,1708,1606,4951,551,217,1077,766,1822,4251,0.535,0,0.553,19.5,5.1,5.9,0.7,0.3,1.3
5,"MarShon Brooks","Dec 26, '11, NJN @ WAS",23,1,56,1648,274,640,47,150,113,148,70,200,131,52,15,118,116,708,0.428,0.313,0.764,29.4,12.6,3.6,2.3,0.9,0.3,2011,"NJN",5,"Dec 26, '11, NJN @ WAS",23,5,200,3456,613,1371,109,316,257,342,132,424,282,120,42,248,269,1592,0.447,0.345,0.751,17.3,8,2.1,1.4,0.6,0.2
6,"Alec Burks","Dec 27, '11, UTA @ LAL",20,1,59,939,153,357,15,45,104,143,57,132,55,27,5,51,84,425,0.429,0.333,0.727,15.9,7.2,2.2,0.9,0.5,0.1,2011,"UTA",6,"Dec 27, '11, UTA @ LAL",20,13,742,16713,2641,6370,887,2318,1821,2260,413,2518,1466,504,152,874,1357,7990,0.415,0.383,0.806,22.5,10.8,3.4,2,0.7,0.2
7,"Jimmy Butler","Jan 1, '12, CHI vs. MEM",22,1,42,359,32,79,2,11,43,56,23,56,14,11,5,14,20,109,0.405,0.182,0.768,8.5,2.6,1.3,0.3,0.3,0.1,2011,"CHI",7,"Jan 1, '12, CHI vs. MEM",22,13,814,27044,4846,10312,652,1980,4590,5441,1316,4351,3474,1323,361,1325,1144,14934,0.47,0.329,0.844,33.2,18.3,5.3,4.3,1.6,0.4
8,"Derrick Byars","Apr 25, '12, SAS @ PHO",27,1,2,37,3,11,0,6,4,4,6,11,1,2,0,0,2,10,0.273,0,1,18.5,5,5.5,0.5,1,0,2011,"SAS",8,"Apr 25, '12, SAS @ PHO",27,1,2,37,3,11,0,6,4,4,6,11,1,2,0,0,2,10,0.273,0,1,18.5,5,5.5,0.5,1,0
9,"Norris Cole","Dec 25, '11, MIA @ DAL",23,1,65,1260,177,450,21,76,66,85,21,91,133,44,2,105,124,441,0.393,0.276,0.776,19.4,6.8,1.4,2,0.7,0,2011,"MIA",9,"Dec 25, '11, MIA @ DAL",23,6,360,8018,1005,2469,207,639,289,389,79,702,981,280,34,517,679,2506,0.407,0.324,0.743,22.3,7,2,2.7,0.8,0.1
10,"Eric Dawson","Feb 21, '12, SAS @ POR",27,1,4,39,7,12,0,0,1,2,5,10,0,1,2,3,6,15,0.583,NA,0.5,9.8,3.8,2.5,0,0.3,0.5,2011,"SAS",10,"Feb 21, '12, SAS @ POR",27,1,4,39,7,12,0,0,1,2,5,10,0,1,2,3,6,15,0.583,NA,0.5,9.8,3.8,2.5,0,0.3,0.5
11,"Justin Dentmon","Mar 24, '12, SAS @ NOH",26,1,6,91,10,28,2,14,4,6,0,8,10,2,0,7,10,26,0.357,0.143,0.667,15.2,4.3,1.3,1.7,0.3,0,2011,"SAS",11,"Mar 24, '12, SAS @ NOH",26,2,8,95,10,30,2,14,4,6,0,8,10,2,0,7,10,26,0.333,0.143,0.667,11.9,3.3,1,1.3,0.3,0
12,"Jerome Dyson","Apr 11, '12, NOH vs. SAC",24,1,9,180,19,48,1,8,28,36,2,19,18,11,2,20,19,67,0.396,0.125,0.778,20,7.4,2.1,2,1.2,0.2,2011,"NOH",12,"Apr 11, '12, NOH vs. SAC",24,1,9,180,19,48,1,8,28,36,2,19,18,11,2,20,19,67,0.396,0.125,0.778,20,7.4,2.1,2,1.2,0.2
13,"Kenneth Faried","Dec 28, '11, DEN vs. UTA",22,1,46,1037,181,309,0,0,109,164,142,352,36,34,47,54,116,471,0.586,NA,0.665,22.5,10.2,7.7,0.8,0.7,1,2011,"DEN",13,"Dec 28, '11, DEN vs. UTA",22,8,478,11728,2190,4009,10,45,1040,1590,1465,3884,470,351,392,626,1180,5430,0.546,0.222,0.654,24.5,11.4,8.1,1,0.7,0.8
14,"Jeff Foote","Mar 9, '12, NOH @ DEN",24,1,4,39,2,6,0,0,0,0,1,6,0,0,1,2,5,4,0.333,NA,NA,9.8,1,1.5,0,0,0.3,2011,"NOH",14,"Mar 9, '12, NOH @ DEN",24,1,4,39,2,6,0,0,0,0,1,6,0,0,1,2,5,4,0.333,NA,NA,9.8,1,1.5,0,0,0.3
15,"Courtney Fortson","Jan 16, '12, LAC vs. NJN",23,1,10,95,11,32,3,13,10,15,6,15,10,3,0,10,5,35,0.344,0.231,0.667,9.5,3.5,1.5,1,0.3,0,2011,"LAC",15,"Jan 16, '12, LAC vs. NJN",23,1,10,95,11,32,3,13,10,15,6,15,10,3,0,10,5,35,0.344,0.231,0.667,9.5,3.5,1.5,1,0.3,0
16,"Jimmer Fredette","Dec 26, '11, SAC vs. LAL",22,1,61,1135,172,446,78,216,40,48,17,73,108,30,3,67,73,462,0.386,0.361,0.833,18.6,7.6,1.2,1.8,0.5,0,2011,"SAC",16,"Dec 26, '11, SAC vs. LAL",22,6,241,3213,524,1282,193,519,197,224,53,243,331,94,11,223,222,1438,0.409,0.372,0.879,13.3,6,1,1.4,0.4,0
17,"Enes Freedom","Dec 27, '11, UTA @ LAL",19,1,66,874,117,236,0,1,70,105,107,278,8,18,23,54,87,304,0.496,0,0.667,13.2,4.6,4.2,0.1,0.3,0.3,2011,"UTA",17,"Dec 27, '11, UTA @ LAL",19,11,748,16101,3426,6254,46,159,1451,1868,2223,5822,638,296,363,1076,1606,8349,0.548,0.289,0.777,21.5,11.2,7.8,0.9,0.4,0.5
18,"Mickell Gladness","Dec 25, '11, MIA @ DAL",25,1,26,252,25,59,0,0,6,12,14,58,5,4,20,7,32,56,0.424,NA,0.5,9.7,2.2,2.2,0.2,0.2,0.8,2011,"MIA",18,"Dec 25, '11, MIA @ DAL",25,1,26,252,25,59,0,0,6,12,14,58,5,4,20,7,32,56,0.424,NA,0.5,9.7,2.2,2.2,0.2,0.2,0.8
19,"Andrew Goudelock","Dec 25, '11, LAL vs. CHI",23,1,40,419,68,174,28,75,11,12,5,31,20,4,0,21,32,175,0.391,0.373,0.917,10.5,4.4,0.8,0.5,0.1,0,2011,"LAL",19,"Dec 25, '11, LAL vs. CHI",23,3,49,475,77,196,29,84,14,16,7,34,24,10,2,28,36,197,0.393,0.345,0.875,9.7,4,0.7,0.5,0.2,0
20,"Jordan Hamilton","Jan 25, '12, DEN @ SAC",21,1,26,258,48,111,17,47,2,5,11,62,20,4,3,16,15,115,0.432,0.362,0.4,9.9,4.4,2.4,0.8,0.2,0.1,2011,"DEN",20,"Jan 25, '12, DEN @ SAC",21,5,151,2100,342,839,137,384,69,103,89,429,127,73,34,102,144,890,0.408,0.357,0.67,13.9,5.9,2.8,0.8,0.5,0.2
21,"Justin Harper","Dec 26, '11, ORL vs. HOU",22,1,14,84,9,31,2,13,0,1,3,12,2,2,3,6,5,20,0.29,0.154,0,6,1.4,0.9,0.1,0.1,0.2,2011,"ORL",21,"Dec 26, '11, ORL vs. HOU",22,3,22,150,18,53,8,29,1,3,5,18,4,3,3,12,10,45,0.34,0.276,0.333,6.8,2,0.8,0.2,0.1,0.1
22,"Josh Harrellson","Dec 25, '11, NYK vs. BOS",22,1,37,540,63,149,20,59,16,26,47,144,11,23,20,20,48,162,0.423,0.339,0.615,14.6,4.4,3.9,0.3,0.6,0.5,2011,"NYK",22,"Dec 25, '11, NYK vs. BOS",22,3,75,888,105,240,33,95,22,35,80,227,26,30,36,33,96,265,0.438,0.347,0.629,11.8,3.5,3,0.3,0.4,0.5
23,"Terrel Harris","Dec 25, '11, MIA @ DAL",24,1,22,318,29,83,8,39,14,21,18,51,26,9,2,25,34,80,0.349,0.205,0.667,14.5,3.6,2.3,1.2,0.4,0.1,2011,"MIA",23,"Dec 25, '11, MIA @ DAL",24,2,42,455,33,110,8,47,21,31,22,77,35,11,5,42,51,95,0.3,0.17,0.677,10.8,2.3,1.8,0.8,0.3,0.1
24,"Tobias Harris","Jan 7, '12, MIL @ LAC",19,1,42,479,79,169,6,23,44,54,30,101,22,13,7,31,45,208,0.467,0.261,0.815,11.4,5,2.4,0.5,0.3,0.2,2011,"MIL",24,"Jan 7, '12, MIL @ LAC",19,13,897,28422,5592,11688,1218,3309,2200,2636,905,5537,2131,695,482,1259,1788,14602,0.478,0.368,0.835,31.7,16.3,6.2,2.4,0.8,0.5
25,"Cory Higgins","Jan 1, '12, CHA @ MIA",22,1,38,423,52,160,4,20,42,60,7,35,36,5,6,39,40,150,0.325,0.2,0.7,11.1,3.9,0.9,0.9,0.1,0.2,2011,"CHA",25,"Jan 1, '12, CHA @ MIA",22,2,44,455,58,179,5,25,43,62,8,38,41,8,6,39,45,164,0.324,0.2,0.694,10.3,3.7,0.9,0.9,0.2,0.1
26,"Darington Hobson","Jan 7, '12, MIL @ LAC",24,1,5,39,2,13,0,6,0,0,0,3,6,0,0,2,1,4,0.154,0,NA,7.8,0.8,0.6,1.2,0,0,2011,"MIL",26,"Jan 7, '12, MIL @ LAC",24,1,5,39,2,13,0,6,0,0,0,3,6,0,0,2,1,4,0.154,0,NA,7.8,0.8,0.6,1.2,0,0
27,"Tyler Honeycutt","Dec 31, '11, SAC vs. NYK",21,1,15,88,8,24,1,3,3,5,3,14,7,4,3,2,3,20,0.333,0.333,0.6,5.9,1.3,0.9,0.5,0.3,0.2,2011,"SAC",27,"Dec 31, '11, SAC vs. NYK",21,2,24,120,11,35,1,5,5,7,6,24,9,4,4,7,5,28,0.314,0.2,0.714,5,1.2,1,0.4,0.2,0.2
28,"Dennis Horner","Dec 27, '11, NJN vs. ATL",23,1,8,22,1,4,0,1,3,4,2,5,0,0,0,1,1,5,0.25,0,0.75,2.8,0.6,0.6,0,0,0,2011,"NJN",28,"Dec 27, '11, NJN vs. ATL",23,1,8,22,1,4,0,1,3,4,2,5,0,0,0,1,1,5,0.25,0,0.75,2.8,0.6,0.6,0,0,0
29,"Kyrie Irving","Dec 26, '11, CLE vs. TOR",19,1,51,1558,350,747,73,183,171,196,44,191,275,54,20,160,110,944,0.469,0.399,0.872,30.5,18.5,3.7,5.4,1.1,0.4,2011,"CLE",29,"Dec 26, '11, CLE vs. TOR",19,13,729,25075,6340,13368,1732,4404,2787,3146,578,2933,4133,956,314,1832,1669,17199,0.474,0.393,0.886,34.4,23.6,4,5.7,1.3,0.4
30,"Reggie Jackson","Dec 31, '11, OKC vs. PHO",21,1,45,501,51,159,13,62,25,29,14,53,71,25,1,36,31,140,0.321,0.21,0.862,11.1,3.1,1.2,1.6,0.6,0,2011,"OKC",30,"Dec 31, '11, OKC vs. PHO",21,13,853,21475,4011,9470,1146,3321,1541,1804,425,2421,3561,577,107,1546,1643,10709,0.424,0.345,0.854,25.2,12.6,2.8,4.2,0.7,0.1
31,"Charles Jenkins","Dec 25, '11, GSW vs. LAC",22,1,51,893,130,291,3,20,34,39,8,68,170,33,6,60,85,297,0.447,0.15,0.872,17.5,5.8,1.3,3.3,0.6,0.1,2011,"GSW",31,"Dec 25, '11, GSW vs. LAC",22,2,110,1334,179,412,4,22,46,61,16,100,214,48,8,81,107,408,0.434,0.182,0.754,12.1,3.7,0.9,1.9,0.4,0.1
32,"Carldell Johnson","Dec 26, '11, NOH @ PHO",29,1,15,119,11,35,4,15,1,3,1,9,22,8,0,7,11,27,0.314,0.267,0.333,7.9,1.8,0.6,1.5,0.5,0,2011,"NOH",32,"Dec 26, '11, NOH @ PHO",29,1,15,119,11,35,4,15,1,3,1,9,22,8,0,7,11,27,0.314,0.267,0.333,7.9,1.8,0.6,1.5,0.5,0
33,"Ivan Johnson","Dec 27, '11, ATL @ NJN",27,1,56,934,141,275,2,6,72,100,65,226,32,43,18,69,116,356,0.513,0.333,0.72,16.7,6.4,4,0.6,0.8,0.3,2011,"ATL",33,"Dec 27, '11, ATL @ NJN",27,2,125,1969,326,631,3,19,153,231,141,492,78,99,32,140,247,808,0.517,0.158,0.662,15.8,6.5,3.9,0.6,0.8,0.3
34,"JaJuan Johnson","Dec 28, '11, BOS @ NOH",22,1,36,298,54,121,0,0,6,9,20,58,6,5,14,14,25,114,0.446,NA,0.667,8.3,3.2,1.6,0.2,0.1,0.4,2011,"BOS",34,"Dec 28, '11, BOS @ NOH",22,1,36,298,54,121,0,0,6,9,20,58,6,5,14,14,25,114,0.446,NA,0.667,8.3,3.2,1.6,0.2,0.1,0.4
35,"Jerome Jordan","Dec 28, '11, NYK @ GSW",25,1,21,108,17,33,0,0,8,10,14,27,4,1,6,2,15,42,0.515,NA,0.8,5.1,2,1.3,0.2,0,0.3,2011,"NYK",35,"Dec 28, '11, NYK @ GSW",25,2,65,491,67,127,0,0,46,54,66,132,17,9,21,24,73,180,0.528,NA,0.852,7.6,2.8,2,0.3,0.1,0.3
36,"Cory Joseph","Dec 26, '11, SAS vs. MEM",20,1,29,266,22,70,3,15,11,17,5,25,34,7,3,12,16,58,0.314,0.2,0.647,9.2,2,0.9,1.2,0.2,0.1,2011,"SAS",36,"Dec 26, '11, SAS vs. MEM",20,13,816,17684,2166,4907,486,1394,833,1060,396,2020,2445,600,179,832,1305,5651,0.441,0.349,0.786,21.7,6.9,2.5,3,0.7,0.2
37,"D.J. Kennedy","Apr 25, '12, CLE vs. WAS",22,1,2,59,5,12,2,4,0,2,1,7,3,2,0,3,7,12,0.417,0.5,0,29.5,6,3.5,1.5,1,0,2011,"CLE",37,"Apr 25, '12, CLE vs. WAS",22,1,2,59,5,12,2,4,0,2,1,7,3,2,0,3,7,12,0.417,0.5,0,29.5,6,3.5,1.5,1,0
38,"Brandon Knight","Dec 26, '11, DET @ IND",20,1,66,2129,319,769,105,276,104,137,33,211,251,49,10,171,154,847,0.415,0.38,0.759,32.3,12.8,3.2,3.8,0.7,0.2,2011,"DET",38,"Dec 26, '11, DET @ IND",20,9,451,13202,2260,5499,715,2029,1066,1321,236,1385,1777,386,75,1090,889,6301,0.411,0.352,0.807,29.3,14,3.1,3.9,0.9,0.2
39,"Malcolm Lee","Mar 10, '12, MIN vs. NOH",21,1,19,243,23,59,2,10,14,17,9,26,31,8,4,17,22,62,0.39,0.2,0.824,12.8,3.3,1.4,1.6,0.4,0.2,2011,"MIN",39,"Mar 10, '12, MIN vs. NOH",21,3,36,534,52,136,10,34,26,37,24,65,51,20,10,27,52,140,0.382,0.294,0.703,14.8,3.9,1.8,1.4,0.6,0.3
40,"Kawhi Leonard","Dec 26, '11, SAS vs. MEM",20,1,64,1534,199,404,41,109,68,88,104,327,70,85,24,44,88,507,0.493,0.376,0.773,24,7.9,5.1,1.1,1.3,0.4,2011,"SAS",40,"Dec 26, '11, SAS vs. MEM",20,12,696,22103,5042,10113,1109,2837,2744,3185,837,4443,2120,1196,454,1140,1169,13937,0.499,0.391,0.862,31.8,20,6.4,3,1.7,0.7
41,"Travis Leslie","Dec 28, '11, LAC @ SAS",21,1,10,45,5,14,0,0,4,9,6,9,5,2,2,2,4,14,0.357,NA,0.444,4.5,1.4,0.9,0.5,0.2,0.2,2011,"LAC",41,"Dec 28, '11, LAC @ SAS",21,1,10,45,5,14,0,0,4,9,6,9,5,2,2,2,4,14,0.357,NA,0.444,4.5,1.4,0.9,0.5,0.2,0.2
42,"Jon Leuer","Dec 26, '11, MIL @ CHA",22,1,46,555,97,191,3,9,21,28,45,120,25,14,17,18,67,218,0.508,0.333,0.75,12.1,4.7,2.6,0.5,0.3,0.4,2011,"MIL",42,"Dec 26, '11, MIL @ CHA",22,8,377,5945,979,2023,125,381,312,407,357,1426,301,137,102,259,583,2395,0.484,0.328,0.767,15.8,6.4,3.8,0.8,0.4,0.3
43,"DeAndre Liggins","Feb 20, '12, ORL @ MIL",23,1,17,115,12,25,0,4,9,19,6,15,5,6,0,10,6,33,0.48,0,0.474,6.8,1.9,0.9,0.3,0.4,0,2011,"ORL",43,"Feb 20, '12, ORL @ MIL",23,5,177,1907,129,321,43,122,45,82,47,252,122,108,31,86,201,346,0.402,0.352,0.549,10.8,2,1.4,0.7,0.6,0.2
44,"Shelvin Mack","Dec 26, '11, WAS vs. NJN",21,1,64,779,88,220,12,42,42,59,12,92,131,28,2,48,50,230,0.4,0.286,0.712,12.2,3.6,1.4,2,0.4,0,2011,"WAS",44,"Dec 26, '11, WAS vs. NJN",21,8,456,8392,1165,2752,302,916,365,499,118,894,1421,300,24,560,568,2997,0.423,0.33,0.731,18.4,6.6,2,3.1,0.7,0.1
45,"Vernon Macklin","Dec 28, '11, DET vs. CLE",25,1,23,135,19,35,0,0,8,14,14,34,5,4,4,3,9,46,0.543,NA,0.571,5.9,2,1.5,0.2,0.2,0.2,2011,"DET",45,"Dec 28, '11, DET vs. CLE",25,1,23,135,19,35,0,0,8,14,14,34,5,4,4,3,9,46,0.543,NA,0.571,5.9,2,1.5,0.2,0.2,0.2
46,"E'Twaun Moore","Dec 25, '11, BOS @ NYK",22,1,38,331,43,113,17,45,7,7,4,33,34,11,3,21,33,110,0.381,0.378,1,8.7,2.9,0.9,0.9,0.3,0.1,2011,"BOS",46,"Dec 25, '11, BOS @ NYK",22,10,598,12564,1927,4236,556,1432,333,449,282,1208,1055,395,131,534,946,4743,0.455,0.388,0.742,21,7.9,2,1.8,0.7,0.2
47,"Darius Morris","Jan 11, '12, LAL @ UTA",21,1,19,169,18,42,4,9,6,9,2,16,21,2,0,19,16,46,0.429,0.444,0.667,8.9,2.4,0.8,1.1,0.1,0,2011,"LAL",47,"Jan 11, '12, LAL @ UTA",21,4,132,1464,166,432,47,146,51,81,40,126,189,45,2,112,127,430,0.384,0.322,0.63,11.1,3.3,1,1.4,0.3,0
48,"Marcus Morris","Dec 26, '11, HOU @ ORL",22,1,17,126,16,54,2,17,6,8,5,16,3,2,2,4,12,40,0.296,0.118,0.75,7.4,2.4,0.9,0.2,0.1,0.1,2011,"HOU",48,"Dec 26, '11, HOU @ ORL",22,13,832,22093,3648,8393,1300,3447,1369,1768,701,3690,1235,545,238,942,1758,9965,0.435,0.377,0.774,26.6,12,4.4,1.5,0.7,0.3
49,"Markieff Morris","Dec 26, '11, PHO vs. NOH",22,1,63,1227,174,436,43,124,76,106,69,279,65,41,42,70,179,467,0.399,0.347,0.717,19.5,7.4,4.4,1,0.7,0.7,2011,"PHO",49,"Dec 26, '11, PHO vs. NOH",22,13,776,18295,3088,6945,650,1895,1194,1534,887,3824,1200,592,377,1116,2025,8020,0.445,0.343,0.778,23.6,10.3,4.9,1.5,0.8,0.5
50,"Daniel Orton","Jan 27, '12, ORL @ NOH",21,1,16,187,17,30,0,1,11,25,19,39,5,8,9,7,30,45,0.567,0,0.44,11.7,2.8,2.4,0.3,0.5,0.6,2011,"ORL",50,"Jan 27, '12, ORL @ NOH",21,3,51,542,50,103,0,1,43,72,48,126,24,18,28,29,81,143,0.485,0,0.597,10.6,2.8,2.5,0.5,0.4,0.5
51,"Jeremy Pargo","Dec 26, '11, MEM @ SAS",25,1,44,424,50,150,10,38,16,27,12,37,55,15,0,46,46,126,0.333,0.263,0.593,9.6,2.9,0.8,1.3,0.3,0,2011,"MEM",51,"Dec 26, '11, MEM @ SAS",25,3,86,1123,160,422,38,119,58,90,21,89,155,29,2,100,100,416,0.379,0.319,0.644,13.1,4.8,1,1.8,0.3,0
52,"Chandler Parsons","Dec 29, '11, HOU vs. SAS",23,1,63,1804,248,549,60,178,43,78,90,300,134,73,29,81,142,599,0.452,0.337,0.551,28.6,9.5,4.8,2.1,1.2,0.5,2011,"HOU",52,"Dec 29, '11, HOU vs. SAS",23,9,440,13246,2129,4611,687,1844,626,878,356,1972,1201,412,152,657,865,5571,0.462,0.373,0.713,30.1,12.7,4.5,2.7,0.9,0.3
53,"Ryan Reid","Feb 14, '12, OKC vs. UTA",25,1,5,17,4,5,0,0,0,0,1,2,0,0,0,1,1,8,0.8,NA,NA,3.4,1.6,0.4,0,0,0,2011,"OKC",53,"Feb 14, '12, OKC vs. UTA",25,1,5,17,4,5,0,0,0,0,1,2,0,0,0,1,1,8,0.8,NA,NA,3.4,1.6,0.4,0,0,0
54,"Ricky Rubio","Dec 26, '11, MIN vs. OKC",21,1,41,1404,139,389,32,94,126,157,21,171,336,91,8,131,97,436,0.357,0.34,0.803,34.2,10.6,4.2,8.2,2.2,0.2,2011,"MIN",54,"Dec 26, '11, MIN vs. OKC",21,12,698,20694,2468,6364,637,1969,1997,2370,428,2830,5160,1226,94,1768,1738,7570,0.388,0.324,0.843,29.6,10.8,4.1,7.4,1.8,0.1
55,"Walker Russell","Jan 20, '12, DET vs. MEM",29,1,28,357,33,95,4,13,14,22,7,26,58,18,1,33,29,84,0.347,0.308,0.636,12.8,3,0.9,2.1,0.6,0,2011,"DET",55,"Jan 20, '12, DET vs. MEM",29,1,28,357,33,95,4,13,14,22,7,26,58,18,1,33,29,84,0.347,0.308,0.636,12.8,3,0.9,2.1,0.6,0
56,"Josh Selby","Dec 28, '11, MEM vs. OKC",20,1,28,237,25,72,2,15,11,14,2,15,30,7,0,29,17,63,0.347,0.133,0.786,8.5,2.3,0.5,1.1,0.3,0,2011,"MEM",56,"Dec 28, '11, MEM vs. OKC",20,2,38,296,31,94,3,21,18,25,2,20,34,9,0,36,24,83,0.33,0.143,0.72,7.8,2.2,0.5,0.9,0.2,0
57,"Iman Shumpert","Dec 25, '11, NYK vs. BOS",21,1,59,1705,214,534,48,157,87,109,42,186,164,101,8,111,173,563,0.401,0.306,0.798,28.9,9.5,3.2,2.8,1.7,0.1,2011,"NYK",57,"Dec 25, '11, NYK vs. BOS",21,10,461,11470,1225,3130,489,1450,381,499,324,1534,845,514,120,530,1058,3320,0.391,0.337,0.764,24.9,7.2,3.3,1.8,1.1,0.3
58,"Xavier Silas","Apr 25, '12, PHI @ MIL",24,1,2,39,4,15,1,6,2,3,2,4,3,0,0,3,5,11,0.267,0.167,0.667,19.5,5.5,2,1.5,0,0,2011,"PHI",58,"Apr 25, '12, PHI @ MIL",24,2,4,46,4,18,1,8,2,3,3,6,3,1,0,3,6,11,0.222,0.125,0.667,11.5,2.8,1.5,0.8,0.3,0
59,"Chris Singleton","Dec 26, '11, WAS vs. NJN",22,1,66,1431,116,312,44,127,30,44,43,233,49,70,30,38,176,306,0.372,0.346,0.682,21.7,4.6,3.5,0.7,1.1,0.5,2011,"WAS",59,"Dec 26, '11, WAS vs. NJN",22,3,148,2605,233,620,58,182,88,139,112,472,92,117,57,100,325,612,0.376,0.319,0.633,17.6,4.1,3.2,0.6,0.8,0.4
60,"Donald Sloan","Jan 11, '12, ATL @ IND",24,1,33,669,79,198,2,25,23,30,18,67,105,13,3,49,37,183,0.399,0.08,0.767,20.3,5.5,2,3.2,0.4,0.1,2011,"ATL",60,"Jan 11, '12, ATL @ IND",24,5,218,3749,449,1098,98,316,193,256,54,455,651,83,8,230,193,1189,0.409,0.31,0.754,17.2,5.5,2.1,3,0.4,0
61,"Greg Smith","Feb 19, '12, HOU vs. UTA",21,1,8,69,7,11,0,0,0,0,5,20,1,2,5,1,17,14,0.636,NA,NA,8.6,1.8,2.5,0.1,0.3,0.6,2011,"HOU",61,"Feb 19, '12, HOU vs. UTA",21,5,149,1834,243,394,0,1,110,191,165,489,41,32,59,65,290,596,0.617,0,0.576,12.3,4,3.3,0.3,0.2,0.4
62,"Jerry Smith","Mar 16, '12, NJN @ ORL",24,1,5,46,3,14,1,6,0,0,2,7,4,5,0,0,5,7,0.214,0.167,NA,9.2,1.4,1.4,0.8,1,0,2011,"NJN",62,"Mar 16, '12, NJN @ ORL",24,1,5,46,3,14,1,6,0,0,2,7,4,5,0,0,5,7,0.214,0.167,NA,9.2,1.4,1.4,0.8,1,0
