,"MPSSAA Basketball History of Finalists, 1947-2024",,,,,,
,GIRLS,,,,BOYS,,
,TEAM,YEAR,Final Standing,,TEAM,YEAR,Standing
,TOWSON,1979, Finalist,,NORTHWESTERN (PG),1952, Finalist
,NORTHWESTERN (PG),1979, Champion,,MONTGOMERY BLAIR,1952, Champion
,PAINT BRANCH,1979, Champion,,CENTRAL (Lonaconing),1952, Champion
,SNOW HILL,1979, Champion,,OCEAN CITY,1952, Champion
,SOUTHERN (AA),1979, Champion,,EASTON,1953, Semifinalist
,FREDERICK,1980,Semifinalist,,ELKTON,1953, Semifinalist
,LEONARDTOWN,1980,Semifinalist,,VIENNA,1953, Semifinalist
,GREAT MILLS,1980,Semifinalist,,WICOMICO,1953, Semifinalist
,ELKTON,1980,Semifinalist,,ALLEGANY,1953, Finalist
,CENTENNIAL,1980,Finalist,,ARUNDEL,1953, Finalist
,DUVAL,1980,Champion,,BEL AIR,1953, Finalist
,MOUNT SAVAGE,1980, Semifinalist,,ELMER WOLFE,1953, Finalist
,SEVERNA PARK,1980, Semifinalist,,BARTON,1953, Champion
,SMITHSBURG,1980, Semifinalist,,MONTGOMERY BLAIR,1953, Champion
,TOWSON,1980, Semifinalist,,BRUCE,1953, Champion
,ELEANOR ROOSEVELT,1980, Finalist,,ROCK HALL,1953, Champion
,SNOW HILL,1980, Finalist,,ANNAPOLIS,1954, Semifinalist
,SOUTH CARROLL,1980, Finalist,,HENRY E. LACKEY,1954, Semifinalist
,MOUNT HEBRON,1980, Champion,,POCOMOKE,1954, Semifinalist
,PAINT BRANCH,1980, Champion,,WICOMICO,1954, Semifinalist
,SOUTHERN (AA),1980, Champion,,BETHESDA-CHEVY CHASE,1954, Finalist
,ANDOVER,1981,Semifinalist,,EASTON,1954, Finalist
,BEALL,1981,Semifinalist,,NEW WINDSOR,1954, Finalist
,DAMASCUS,1981,Semifinalist,,ALLEGANY,1954, Champion
,DULANEY,1981,Semifinalist,,BRUCE,1954, Champion
,LARGO,1981,Semifinalist,,FEDERALSBURG,1954, Champion
,LEONARDTOWN,1981,Semifinalist,,PERRYVILLE,1954, Champion
,ELKTON,1981,Semifinalist,,ABERDEEN,1955, Semifinalist
,DOUGLASS (PG),1981,Finalist,,KENWOOD,1955, Semifinalist
,CENTENNIAL,1981,Champion,,VALLEY,1955, Semifinalist
,MOUNT HEBRON,1981, Finalist,,WICOMICO,1955, Semifinalist
,PAINT BRANCH,1981, Finalist,,CENTREVILLE,1955, Finalist
,SNOW HILL,1981, Finalist,,HAGERSTOWN,1955, Finalist
,SOUTHERN (AA),1981, Finalist,,MARDELA,1955, Finalist
,NORTH HAGERSTOWN,1981, Champion,,OXON HILL,1955, Finalist
,PARKDALE,1981, Champion,,SOUTHERN (AA),1955, Finalist
,SMITHSBURG,1981, Champion,,MONTGOMERY BLAIR,1955, Champion
,WESTMINSTER,1981, Champion,,CAMBRIDGE,1955, Champion
,ANDOVER,1982,Semifinalist,,HENRY E. LACKEY,1955, Champion
,ATHOLTON,1982,Semifinalist,,ARUNDEL,1956, Semifinalist
,DULANEY,1982,Semifinalist,,CAMBRIDGE,1956, Semifinalist
,FRIENDLY,1982,Semifinalist,,HENRY E. LACKEY,1956, Semifinalist
,ANNAPOLIS,1982,Finalist,,MANCHESTER,1956, Semifinalist
,HEREFORD,1982,Finalist,,WICOMICO,1956, Semifinalist
,MONTGOMERY BLAIR,1982,Champion,,ALLEGANY,1956, Finalist
,BROOKLYN PARK,1982,Champion,,BEL AIR,1956, Finalist
,DUVAL,1982,Champion,,CRISFIELD,1956, Finalist
,MOUNT SAVAGE,1982, Semifinalist,,OXON HILL,1956, Finalist
,PARKSIDE,1982, Semifinalist,,CENTREVILLE,1956, Champion
,SNOW HILL,1982, Semifinalist,,NORTHWESTERN (PG),1956, Champion
,TOWSON,1982, Semifinalist,,VALLEY,1956, Champion
,SMITHSBURG,1982, Finalist,,CHESTERTOWN,1957, Semifinalist
,WHEATON,1982, Finalist,,HOWARD COUNTY,1957, Semifinalist
,CHARLES W. WOODWARD,1982, Champion,,SOUTHERN (AA),1957, Semifinalist
,ANDOVER,1983,Semifinalist,,SUDLERSVILLE,1957, Semifinalist
,DULANEY,1983,Semifinalist,,WICOMICO,1957, Semifinalist
,GLEN BURNIE,1983,Semifinalist,,MONTGOMERY BLAIR,1957, Finalist
,BROOKLYN PARK,1983,Finalist,,STEPHEN DECATUR,1957, Finalist
,COL. ZADOK MAGRUDER,1983,Finalist,,LAUREL,1957, Finalist
,LIBERTY,1983,Finalist,,OXON HILL,1957, Finalist
